fire_id,fire_name,year,alarm_date,cont_date,duration_days,gis_acres,cause,lon_centroid,lat_centroid,lag_days,elev_mean,elev_std,slope_mean,nlcd_open_water,nlcd_dev_open,nlcd_dev_low,nlcd_dev_med,nlcd_dev_high,nlcd_barren,nlcd_forest_decid,nlcd_forest_ever,nlcd_forest_mixed,nlcd_shrub,nlcd_grassland,nlcd_pasture,nlcd_crops,nlcd_wetland_woody,nlcd_wetland_herb
NORTH_2024_00026,NORTH,2024,7/7/24,7/14/24,7,4379.455566,10,-120.4294973,41.25607254021436,365,,,,0,0,0.008152174,0,0,0,0.003990575,0.002698389,0,0.9851588628762542,0,0,0,0,0
HORSESHOE_2024_00027,HORSESHOE,2024,10/30/24,1/28/25,90,4223.523926,14,-118.1013974,36.502033762465395,365,1957.8689236055436,588.7067727067385,10.838968944634873,0,0,0,0,0,0.004022183,0,0.019379608751295022,0,0.976598208,0,0,0,0,0
FRANKLIN_2024_00028,FRANKLIN,2024,12/9/24,12/19/24,10,4123.705566,14,-118.6975122,34.05180845,365,223.02879947056883,190.43451133275929,9.558874243398428,0,0,0.004180602,0.000167224,0,0.077201784,0,0,0,0.9184503901895206,0,0,0,0,0
LOST_HILLS_2024_00029,LOST HILLS,2024,7/15/24,7/15/24,1,4044.124267578125,14,-119.6550128,35.63775249592997,365,76.68253289455384,8.644059863610854,0.2294348691414299,0,2.5569561993403053e-05,0,0,0,0.10905418190186403,0,0,0,0.8901531616763405,0.000767087,0,0,0,0
PEDRO_2024_00030,PEDRO,2024,7/30/24,8/6/24,7,3819.054688,8,-120.2707993,37.66227311491641,365,377.1458653760656,115.80966638692108,6.4368692039465945,0,0,0,0,0,0.037126413,0,0.000998544,0,0.9509326676374731,0.010942375702101102,0,0,0,0
THOMPSON_2024_00031,THOMPSON,2024,7/2/24,7/9/24,7,3782.466552734375,7,-121.5149687,39.54554001152038,365,203.95580374226847,95.27267176475695,5.173698317581726,0,0.000261464,0.038354787,0.009754626,0.000422365,0.033346742,0,0,0,0.44603781174577634,0.003841512,0,0.46492357200321804,0.001930813,0.001126307
BEAR_2024_00032,BEAR,2024,9/2/24,9/24/24,22,3322.563232421875,14,-120.1953636,39.61397004117556,365,,,,0,0,0.007580751,0,0,0.00469677,0,0,0,0.7096242584047462,0.25321357943309164,0.002471984,0.008899143,0.008624478,0.004889035
LOST_3_2024_00033,LOST 3,2024,6/6/24,6/7/24,1,3283.200684,14,-119.6872551,35.70331013495663,365,68.76680697908422,2.4446255819834324,0.14175920578705192,0,0,0,0,0,0.17517006802721088,0,0,0,0.8248299319727891,0,0,0,0,0
MILL_2024_00034,MILL,2024,7/22/24,8/5/24,14,2936.693603515625,1,-120.5017939,39.73685751073738,365,,,,0,0.001295816,0.010514624,0,0,0.002036283,0,0,0,0.9535357275083303,0.03061829,0,0.001851166,0,0.000148093
VISTA_2024_00035,VISTA,2024,7/7/24,7/8/24,1,2935.849853515625,14,-117.592562,34.284550887846926,365,2068.3922612285305,311.63064863750236,16.122726826924914,0,0,0,0,0,0.000980499,0,0,0,0.9990195010349712,0,0,0,0,0
RIDGE_2024_00036,RIDGE,2024,7/20/24,7/27/24,7,2755.282715,14,-122.4373071,39.04286664949152,365,557.7573370228268,99.87067657485093,8.642555814426789,0,0,0.001409333,0.00104395,0,0.047551936527821276,0,0.004854369,0,0.9451404113164213,0,0,0,0,0
CROZIER_2024_00037,CROZIER,2024,8/6/24,8/20/24,14,1955.3297119140625,7,-120.6883899,38.83831906908532,365,975.1501875546246,86.40152466119356,9.142300379934676,0,0,0,0,0,0,0,0.6418561418561418,0,0.35814385814385813,0,0,0,0,0
EAGLE_2024_00038,EAGLE,2024,7/21/24,7/23/24,2,1710.169677734375,14,-117.4794043,33.814314214980456,365,365.3074872903944,58.78606079385753,5.620860551492352,0,0,0,0,0,0.003245614,0,0,0,0.9564035087719298,0.040350877,0,0,0,0
MCCAIN_4_2024_00039,MCCAIN 4,2024,7/1/24,7/6/24,5,1596.656494140625,10,-116.2088915,32.66776507178226,365,932.9531264178784,99.82691237,10.110290524354609,0,0,0,0,0,0.034904372,0,0,0,0.958811475,0.006284153,0,0,0,0
WEST_2024_00040,WEST,2024,6/3/24,6/6/24,3,1575.731445,14,-118.2406468,34.91793298474455,365,842.1004547485052,46.64351711805059,3.5711879319133346,0,0,0,0,0,0.000275482,0,0,0,0.9997245179063361,0,0,0,0,0
APACHE_2024_00041,APACHE,2024,7/24/24,8/5/24,12,1496.3419189453125,14,-119.3973508,34.75799549253997,365,1126.1765807447282,89.31729378426448,8.372145119465204,0,0,0,0,0,0.2165945165945166,0,0,0,0.7834054834054834,0,0,0,0,0
SCHOOL_2024_00042,SCHOOL,2024,5/2/24,5/3/24,1,1478.5582275390625,14,-119.320161,35.03158423333682,365,276.3058346858641,36.49769833562347,1.1562798210976932,0,0,0,0,0,0.001223092,0,0,0,0.9987769080234834,0,0,0,0,0
BEAR_2024_00043,BEAR,2024,6/12/24,6/14/24,2,1403.6422119140625,11,-119.9300392,35.28680813554033,365,590.4473148062965,7.533984824693845,0.43069412611984065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HILL_2024_00044,HILL,2024,5/28/24,5/31/24,3,1383.0548095703125,2,-119.5746464,34.875893725308686,365,834.9508437,39.79847809803578,3.7961949346913597,0,0,0.000382775,0,0,0.29645933014354064,0,0,0,0.7011483253588516,0.002009569,0,0,0,0
