fire_id,fire_size,ignition_date,containment_date,duration_days,latitude,longitude,ignition_year,ignition_month,hot_days_6mo,avg_fm100_6mo,avg_fm1000_6mo,days_fm100_below_10,avg_max_temp_6mo,avg_min_temp_6mo,hottest_day_6mo,coldest_day_6mo,avg_daily_temp_range,mean_elevation,elevation_variability,mean_slope,open_water,barren,forest_decid,forest_ever,forest_mixed,shrub,grassland,pasture,crops,wetland,wetland_herb,forest_fraction,shrub_fraction,grass_fraction,agriculture_fraction,nonburnable_fraction,dominant_veg,avg_vpd_6mo,avg_wind_6mo,extreme_fire_days,avg_precip_6mo,rainy_days_6mo,avg_humidity_6mo
18_2019_02206,16.13496971130371,2018-07-31 00:00:00,2019-08-01 00:00:00,366,34.46948170790286,-117.03867042348566,2018,7,27.0,9.392222247777774,10.50888890388889,112.0,24.54277833333336,9.942361000000025,40.10000000000002,-3.4249999999999545,14.600417333333327,958.6925262712006,45.30618828846561,10.259268011456246,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,shrub_fraction,1.6327222202222216,3.714027767777777,3.0,0.4652777821111111,32.0,65.6154166388889
198_2010_04922,58.353248596191406,2009-06-06 00:00:00,2010-06-06 00:00:00,365,36.14912894134955,-120.9679304439783,2009,6,,18.0661728861111,20.255493836111107,0.0,19.065309666666696,4.352964333333356,33.70556000000005,-3.838869999999986,14.712345333333332,209.82901290729285,14.519724231260025,2.653946239268143,0.0,0.0,0.0,0.0021645021645021,0.0,0.997835497835498,0.0,0.0,0.0,0.0,0.0,0.0021645021645021,0.997835497835498,0.0,0.0,0.0,shrub_fraction,0.6199691321677778,3.9233950472222237,0.0,1.6943827114444443,49.0,97.12734527222219
198_2012_04377,26.509864807128903,2011-01-09 00:00:00,2012-01-09 00:00:00,365,36.14800820609601,-120.97247319897052,2011,1,23.0,13.897654422222217,14.234135794444457,24.0,26.666051833333363,6.371052555555573,38.46115000000003,-3.627749999999992,20.294999277777777,231.784033563402,36.7507498644941,5.212216218757917,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.3869259172500006,3.142345673333332,0.0,0.33703704411111113,11.0,88.00388897222223
1_10_2023_00626,56.87771987915039,2022-08-15 00:00:00,2023-08-18 00:00:00,368,40.01948304414059,-123.24766831990436,2022,8,9.0,12.974166640000009,16.52629631222223,71.0,21.19185088888891,7.469537388888913,38.200000000000045,-5.383299999999963,13.722313499999993,1058.4920334651551,54.20760456150008,8.20033823521948,0.0,0.0,0.0,0.0,0.0,0.0460358056265984,0.9539641943734016,0.0,0.0,0.0,0.0,0.0,0.0460358056265984,0.9539641943734016,0.0,0.0,grass_fraction,1.1087777821722224,4.397592596111114,0.0,2.6879629484722214,56.0,75.91166666666672
1_11_2020_01837,12.209177017211914,2019-08-18 00:00:00,2020-09-10 00:00:00,389,39.898995866126214,-121.50222977196366,2019,8,1.0,9.540185325555557,12.205185180000008,119.0,21.04722377777781,9.852685111111134,35.10000000000002,-3.066659999999956,11.194538666666672,1150.661440700955,28.60130106095948,8.575043175358179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.3309074075611107,3.8558333494444437,0.0,2.161203717611111,38.0,54.52407381111109
1_12_2020_01565,946.5835571289062,2019-08-25 00:00:00,2020-09-10 00:00:00,382,39.975008812852856,-121.58442594540574,2019,8,4.0,9.32864194833334,11.810185117777781,121.0,22.379257666666685,10.904321666666684,35.961100000000044,-2.738929999999982,11.474936000000007,1094.3268738628976,132.42928404822595,9.90779031137077,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.4678271593555552,3.4512345344444455,0.0,2.0666666445277775,42.0,53.536172677777806
1_21_PORK_LIGHTNING_2008_05414,403.0793762207031,2007-07-05 00:00:00,2008-07-12 00:00:00,373,39.87563840893127,-123.1044047543596,2007,7,1.0,13.139629677222233,16.9153704361111,60.0,17.016945388888914,3.602315611111134,35.31664000000001,-5.866669999999999,13.414629777777776,1102.8411251329908,229.4326622089354,12.825087557136571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,0.8706388903666669,4.1155555872222225,0.0,2.630277738555556,55.0,72.63629617222217
1_34_2009_05220,19.295337677001953,2008-08-02 00:00:00,2009-08-17 00:00:00,380,40.96106874989861,-121.53015321437928,2008,8,15.0,12.832083331111106,16.124444340555552,68.0,21.39250155555557,2.950277222222245,38.075000000000045,-8.799999999999955,18.44222433333334,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,1.173333337083333,3.31597221888889,0.0,1.4448611044444444,53.0,78.74347262222221
1_4_BIZZ_2021_01355,13.895167350769045,2020-06-23 00:00:00,2021-06-25 00:00:00,367,40.39651747623723,-120.7701420630649,2020,6,,12.59870377722222,15.435678913888896,72.0,12.913333277777806,-1.201481333333312,32.7722,-14.672249999999963,14.114814611111115,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,shrub_fraction,0.7036975265555555,4.270185163333333,0.0,1.4655555717055557,66.0,72.88765500555554
1_6_SKUNK_2_LIGHTNING_2008_05690,1.913678765296936,2007-06-26 00:00:00,2008-07-04 00:00:00,374,39.75094917873515,-123.34118447791596,2007,6,,14.412962951666671,18.308055594444443,45.0,17.68194538888891,3.569721666666692,34.94998000000004,-4.416629999999998,14.112223722222224,986.8254191080728,15.20572084458338,10.496760553430445,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0833333333333333,0.0,0.0,shrub_fraction,0.8405185163444445,5.6636111183333355,0.0,3.4172222187777783,59.0,77.95999979444447
