date,days_to_ignition,phase,bi,erc,fm100,fm1000,tmmx,tmmn,rmax,rmin,pr,vpd,vs
2020-10-11,-276,pre_fire,53.613716,75.461716,9.588572,6.7033143,291.53314,275.06915,83.42719,24.02126,0.0,0.8285371,2.5854855
2020-10-12,-275,pre_fire,51.205715,74.945145,10.0510845,6.947542,295.18094,277.37668,74.80732,18.656572,0.0,1.1591201,2.2034285
2020-10-13,-274,pre_fire,60.878857,74.30286,10.0177145,7.1394286,296.36752,279.4327,70.08434,18.822058,0.0,1.276,3.4971428
2020-10-14,-273,pre_fire,68.31771,74.737144,9.583086,7.2811427,295.3817,279.28592,63.430176,17.2848,0.0,1.2659543,4.3102856
2020-10-15,-272,pre_fire,88.50629,77.73143,8.542971,7.2914286,293.3718,278.64664,45.680573,11.512229,0.0,1.2917486,6.410743
2020-10-16,-271,pre_fire,84.045715,80.408,7.693372,7.250743,295.47552,278.1256,44.75463,8.472114,0.0,1.4652799,5.3825145
2020-10-17,-270,pre_fire,60.388573,79.003426,7.8765717,7.200686,297.42856,279.40067,61.12537,13.649942,0.0,1.4808228,2.9173717
2020-10-18,-269,pre_fire,59.10057,77.66286,8.190971,7.2293715,295.9784,279.448,63.804,16.631544,0.0,1.3144457,2.9597712
2020-10-19,-268,pre_fire,60.834286,78.536,8.070515,7.255086,296.2249,278.54138,58.150974,12.952344,0.0,1.3943886,2.994857
2020-10-20,-267,pre_fire,63.209145,78.64686,7.9435425,7.2917714,295.69864,278.45758,56.76743,12.852914,0.0,1.372103,3.2250285
2020-10-21,-266,pre_fire,53.971428,74.522285,9.0576,7.5118856,294.29636,276.31372,76.44239,18.9408,0.0,1.0845143,2.5949717
2020-10-22,-265,pre_fire,72.96343,73.28571,9.062971,7.6412573,285.8607,272.94287,62.111656,20.84983,0.0,0.70077723,5.190971
2020-10-23,-264,pre_fire,60.254856,76.12114,8.535315,7.6791997,289.42834,272.17404,54.725716,11.554971,0.0,0.93414855,3.0822856
2020-10-24,-263,pre_fire,57.121143,70.56686,10.1336,7.8782864,290.64847,272.66287,83.63073,21.54583,0.0,0.80206865,3.4067428
2020-10-25,-262,pre_fire,70.61714,67.648,10.617143,8.0210285,279.41336,267.47314,73.77131,27.527313,0.0,0.3914057,5.688686
2020-10-26,-261,pre_fire,87.25143,77.23772,8.639886,7.886972,282.48904,266.88754,30.723314,3.9403427,0.0,0.6914743,5.872
2020-10-27,-260,pre_fire,79.30057,76.828575,8.054515,7.872686,289.63086,272.3993,49.521713,9.511658,0.0,0.9838971,5.235086
2020-10-28,-259,pre_fire,68.996574,79.898285,7.229028,7.7627425,292.9936,274.82672,41.187656,5.9017143,0.0,1.2909485,3.5846858
2020-10-29,-258,pre_fire,70.144,81.89029,6.5230856,7.673714,293.7544,275.34927,37.87417,4.7824,0.0,1.37264,3.524
2020-10-30,-257,pre_fire,59.654858,82.89714,6.0929146,7.602857,293.8104,275.39462,39.038284,5.1253715,0.0,1.36312,2.3232
2020-10-31,-256,pre_fire,60.589714,83.12,5.921943,7.3874288,293.94537,276.07715,39.261715,8.655542,0.0,1.3297372,2.5352
2020-11-01,-255,pre_fire,66.734856,84.488,5.7266283,7.207315,294.75552,276.99887,37.37623,8.086857,0.0,1.4192573,3.1016
2020-11-02,-254,pre_fire,59.986286,85.71657,5.4617143,7.1391997,295.22025,276.82617,34.517715,6.652229,0.0,1.4807658,2.2074285
2020-11-03,-253,pre_fire,70.97714,86.97257,5.1362286,7.0242286,293.79028,276.58594,30.390285,6.132229,0.0,1.3916113,3.2807999
2020-11-04,-252,pre_fire,50.690285,82.654854,5.3766866,6.9851427,293.58447,276.78137,38.251774,9.348914,0.24571429,1.3123885,2.2233143
2020-11-05,-251,pre_fire,39.938286,75.80572,6.2183995,7.0904,294.78604,275.76355,52.4064,12.196,0.56205714,1.2723086,2.632
2020-11-06,-250,pre_fire,5.3645716,50.896,10.541028,7.846286,281.29382,270.6321,92.457375,48.556,2.3341715,0.27119997,4.5736003
2020-11-07,-249,pre_fire,16.452572,45.992,13.510513,8.385371,275.4688,268.42606,93.74366,61.913025,0.9377143,0.13265142,5.578743
2020-11-08,-248,pre_fire,44.674286,51.397713,14.303886,8.742399,272.87656,264.63165,84.85703,48.547657,0.21702859,0.16785142,5.476685
2020-11-09,-247,pre_fire,36.429714,56.173714,13.611201,9.026743,274.78217,264.0615,71.850624,32.547314,0.25005716,0.26659432,2.4754286
2020-11-10,-246,pre_fire,49.338287,59.493713,13.093486,9.279657,282.224,267.7415,74.48502,25.541027,0.0,0.4631657,3.3953142
2020-11-11,-245,pre_fire,42.32343,57.281143,13.458056,9.600914,280.34778,266.40594,81.51097,29.474285,0.0,0.3782171,2.5445714
2020-11-12,-244,pre_fire,43.68343,56.868572,13.084343,9.831544,282.06467,266.70056,73.365944,22.618973,0.12365714,0.4786857,3.2336
2020-11-13,-243,pre_fire,1.3142858,32.619427,16.896114,11.0256,276.82104,269.79465,90.79361,59.74617,11.029029,0.16430858,9.545943
2020-11-14,-242,pre_fire,39.700573,43.58057,16.708685,11.1841135,278.1672,268.48285,87.633484,45.95794,0.0016000001,0.24272,3.7945144
2020-11-15,-241,pre_fire,44.725716,41.93714,16.348915,11.414058,282.8792,273.20422,84.49166,46.11074,0.24731429,0.35265145,6.353829
2020-11-16,-240,pre_fire,41.132572,49.461716,14.676685,11.565029,289.44562,274.551,69.27223,23.949715,0.23657143,0.7840686,3.4326859
2020-11-17,-239,pre_fire,0.0,27.908571,17.880571,13.061943,284.10022,274.09943,83.50412,44.078857,40.086285,0.40010285,8.275658
2020-11-18,-238,pre_fire,0.0,19.28,21.3152,14.661943,278.13773,272.2887,96.52309,71.43886,17.682629,0.10426285,8.241258
2020-11-19,-237,pre_fire,29.670856,31.781713,19.644798,14.979543,279.3825,268.5679,87.5,42.024,0.002057143,0.2820914,3.408
2020-11-20,-236,pre_fire,36.094856,36.217144,17.5448,14.677029,280.4265,268.05704,76.47566,31.114058,0.0,0.3913714,4.172229
2020-11-21,-235,pre_fire,39.904,38.68457,16.025486,14.628343,281.21326,268.20905,73.95623,28.1344,0.0,0.44318858,4.608
2020-11-22,-234,pre_fire,15.616,32.634285,15.618743,14.817828,282.14685,268.62216,78.944,29.843771,1.3276572,0.4309257,2.8378286
2020-11-23,-233,pre_fire,27.980572,36.198856,15.357829,15.071428,280.84708,269.72238,83.5008,38.744686,0.012342858,0.34080002,2.5420573
2020-11-24,-232,pre_fire,29.901714,38.346287,14.65383,14.848114,283.31393,269.7519,77.92445,29.56023,0.14297144,0.47022858,2.9946287
2020-11-25,-231,pre_fire,26.88,33.74286,15.845371,14.790628,277.89658,267.50592,92.498405,46.809143,0.43497142,0.22277713,4.225486
2020-11-26,-230,pre_fire,40.717712,36.662857,15.815658,14.995429,277.40732,266.53006,84.83326,39.57943,0.0,0.26542857,5.288686
2020-11-27,-229,pre_fire,40.230858,40.509716,14.655201,14.750286,281.88913,267.95895,71.99566,25.319656,0.0,0.47574854,4.4018283
2020-11-28,-228,pre_fire,30.596571,42.48343,13.648,14.663543,284.1346,268.64676,69.51909,21.474516,0.0,0.5694514,2.0856
